ARB_PLANT_1995,Total de Arboles Plantados en 1995
ARB_PLANT_1996,Total de Arboles Plantados en 1996
ARB_PLANT_1997,Total de Arboles Plantados en 1997
ARB_PLANT_1998,Total de Arboles Plantados en 1998
ARB_PLANT_1999,Total de Arboles Plantados en 1999
ARB_PLANT_2000,Total de Arboles Plantados en 2000
ARB_PLANT_2001,Total de Arboles Plantados en 2001
ARB_PLANT_2002,Total de Arboles Plantados en 2002
ARB_PLANT_2003,Total de Arboles Plantados en 2003
ARB_PLANT_2004,Total de Arboles Plantados en 2004
ARB_PLANT_2005,Total de Arboles Plantados en 2005
ARB_PLANT_2006,Total de Arboles Plantados en 2006
ARB_PLANT_2007,Total de Arboles Plantados en 2007
ARB_PLANT_2008,Total de Arboles Plantados en 2008
ARB_PLANT_2009,Total de Arboles Plantados en 2009
ARB_PLANT_2010,Total de Arboles Plantados en 2010
ARB_PLANT_2011,Total de Arboles Plantados en 2011
ARB_PLANT_2012,Total de Arboles Plantados en 2012
ARB_PLANT_2013,Total de Arboles Plantados en 2013
ARB_PLANT_2014,Total de Arboles Plantados en 2014
SF_REFORST,Superficie reforestada (Kilómetros cuadrados) en el periodo de 1994 a 2014
SF_REFORST_1994,Superficie reforestada (Kilómetros cuadrados) en 1994
SF_REFORST_1995,Superficie reforestada (Kilómetros cuadrados) en 1995
SF_REFORST_1996,Superficie reforestada (Kilómetros cuadrados) en 1996
SF_REFORST_1997,Superficie reforestada (Kilómetros cuadrados) en 1997
SF_REFORST_1998,Superficie reforestada (Kilómetros cuadrados) en 1998
SF_REFORST_1999,Superficie reforestada (Kilómetros cuadrados) en 1999
SF_REFORST_2000,Superficie reforestada (Kilómetros cuadrados) en 2000
SF_REFORST_2001,Superficie reforestada (Kilómetros cuadrados) en 2001
SF_REFORST_2002,Superficie reforestada (Kilómetros cuadrados) en 2002
SF_REFORST_2003,Superficie reforestada (Kilómetros cuadrados) en 2003
SF_REFORST_2004,Superficie reforestada (Kilómetros cuadrados) en 2004
SF_REFORST_2005,Superficie reforestada (Kilómetros cuadrados) en 2005
SF_REFORST_2006,Superficie reforestada (Kilómetros cuadrados) en 2006
SF_REFORST_2007,Superficie reforestada (Kilómetros cuadrados) en 2007
SF_REFORST_2008,Superficie reforestada (Kilómetros cuadrados) en 2008
SF_REFORST_2009,Superficie reforestada (Kilómetros cuadrados) en 2009
SF_REFORST_2010,Superficie reforestada (Kilómetros cuadrados) en 2010
SF_REFORST_2011,Superficie reforestada (Kilómetros cuadrados) en 2011
SF_REFORST_2012,Superficie reforestada (Kilómetros cuadrados) en 2012
SF_REFORST_2013,Superficie reforestada (Kilómetros cuadrados) en 2013
SF_REFORST_2014,Superficie reforestada (Kilómetros cuadrados) en 2014
AREA_URB,Area Urbana (Kilómetros Cudrados)
AREA_VERDE,"Area Verde (Kilometros Cuadrados). Se consideran areas verdes a las areas clasificadas como: Agricultura, Pastizal, Bosque, Selva, Matorral Xerófilo, Otros tipos de Vegetación, Vegetacion Secundaria."
Agricultura,Suelo dedicado a agricultura (Kilómetros Cuadrados)
Bosque,"Area de bosque (Kilómetros Cuadrados). Vegetación arbórea, principalmente de zonas templadas y semifrías, en climas subhúmedos a muy húmedos."
Matorral xerófilo,"Area de Matorral Xerófilo (Kilómetros Cuadrados). El Matorral Xerófilo es un ecosistema conformado por matorrales en zonas de escasas precipitaciones, por lo que predomina la vegetación xerófila (plantas adaptadas a la escasez de agua)"
Otros tipos de vegetación,"Comunidades vegetales con características ecológicas especiales: fisonomía, origen (suelos, fuego, agua, etc.) que los diferencian de las formaciones vegetales típicas como bosque, selva, pastizal (Kilómetros cuadrados)"
Pastizal,"Area de Pastizal (Kilómetros cuadrados). Comunidades vegetales caracterizadas por la dominancia de gramíneas (pastos o zacates) o graminoides. Aquí se incluyen pastizales determinados tanto por condiciones naturales de clima y suelo, como aquéllos establecidos por influencia humana."
Selva,Area de Selva (Kilómetros cuadrados). Vegetación arbórea en climas cálido - húmedos a cálidos semisecos. Se caracteriza por tener generalmente una gran variedad de especies de origen tropical.
Superficie continental (Kilómetros cuadrados),La parte del territorio nacional que está articulada con el Continente Americano.
Vegetación secundaria a/,Estado sucesional de la vegetación. Se indica alguna fase de vegetación secundaria cuando hay algún tipo de indicio de que la vegetación original fue eliminada o perturbada a un grado en el que ha sido modificada profundamente.(Kilómetros Cuadrados)
Áreas urbanas,Area acondicionada para el uso por el ser humano como sociedad (Kilómetros cuadrados).
AREA_CONTINENTAL,Superficie continental (Kilómetros cuadrados)
P0901,"Numero de denuncias recibidas en materia ambiental, en el periodo de 1994 a 2014"
P0902,"Numero de Arboles Plantados, en el periodo de 1994 a 2014"
P0903,Hectareas de Superficie Reforestada
P0904,Parámetro de Area verde (Kilometros Cuadrados)
Cuerpos de agua,Cuerpos de agua (Kilómetros Cuadrados)
FALTANTES,Municipios en donde la información no se encuentra disponible
P0907,Aguas Superficiales (Kilómetros Cuadrados)
AGUAS_SUPERFICIALES,Aguas continentales que se encuentran en la superficie de la Tierra (Kilometros Cuadrados).
CAM_PASAJEROS_1980,Numero de Camiones de pasajeros registrados en el municipio (1980)
CAM_PASAJEROS_1981,Numero de Camiones de pasajeros registrados en el municipio (1981)
CAM_PASAJEROS_1982,Numero de Camiones de pasajeros registrados en el municipio (1982)
CAM_PASAJEROS_1983,Numero de Camiones de pasajeros registrados en el municipio (1983)
CAM_PASAJEROS_1984,Numero de Camiones de pasajeros registrados en el municipio (1984)
CAM_PASAJEROS_1985,Numero de Camiones de pasajeros registrados en el municipio (1985)
CAM_PASAJEROS_1986,Numero de Camiones de pasajeros registrados en el municipio (1986)
CAM_PASAJEROS_1987,Numero de Camiones de pasajeros registrados en el municipio (1987)
CAM_PASAJEROS_1988,Numero de Camiones de pasajeros registrados en el municipio (1988)
CAM_PASAJEROS_1989,Numero de Camiones de pasajeros registrados en el municipio (1989)
CAM_PASAJEROS_1990,Numero de Camiones de pasajeros registrados en el municipio (1990)
CAM_PASAJEROS_1991,Numero de Camiones de pasajeros registrados en el municipio (1991)
CAM_PASAJEROS_1992,Numero de Camiones de pasajeros registrados en el municipio (1992)
CAM_PASAJEROS_1993,Numero de Camiones de pasajeros registrados en el municipio (1993)
CAM_PASAJEROS_1994,Numero de Camiones de pasajeros registrados en el municipio (1994)
CAM_PASAJEROS_1995,Numero de Camiones de pasajeros registrados en el municipio (1995)
CAM_PASAJEROS_1996,Numero de Camiones de pasajeros registrados en el municipio (1996)
CAM_PASAJEROS_1997,Numero de Camiones de pasajeros registrados en el municipio (1997)
CAM_PASAJEROS_1998,Numero de Camiones de pasajeros registrados en el municipio (1998)
CAM_PASAJEROS_1999,Numero de Camiones de pasajeros registrados en el municipio (1999)
CAM_PASAJEROS_2000,Numero de Camiones de pasajeros registrados en el municipio (2000)
CAM_PASAJEROS_2001,Numero de Camiones de pasajeros registrados en el municipio (2001)
CAM_PASAJEROS_2002,Numero de Camiones de pasajeros registrados en el municipio (2002)
CAM_PASAJEROS_2003,Numero de Camiones de pasajeros registrados en el municipio (2003)
CAM_PASAJEROS_2004,Numero de Camiones de pasajeros registrados en el municipio (2004)
CAM_PASAJEROS_2005,Numero de Camiones de pasajeros registrados en el municipio (2005)
CAM_PASAJEROS_2006,Numero de Camiones de pasajeros registrados en el municipio (2006)
CAM_PASAJEROS_2007,Numero de Camiones de pasajeros registrados en el municipio (2007)
CAM_PASAJEROS_2008,Numero de Camiones de pasajeros registrados en el municipio (2008)
CAM_PASAJEROS_2009,Numero de Camiones de pasajeros registrados en el municipio (2009)
CAM_PASAJEROS_2010,Numero de Camiones de pasajeros registrados en el municipio (2010)
CAM_PASAJEROS_2011,Numero de Camiones de pasajeros registrados en el municipio (2011)
CAM_PASAJEROS_2012,Numero de Camiones de pasajeros registrados en el municipio (2012)
CAM_PASAJEROS_2013,Numero de Camiones de pasajeros registrados en el municipio (2013)
CAM_PASAJEROS_2014,Numero de Camiones de pasajeros registrados en el municipio (2014)
CAM_PASAJEROS_2015,Numero de Camiones de pasajeros registrados en el municipio (2015)
CAM_PASAJEROS_2016,Numero de Camiones de pasajeros registrados en el municipio (2016)
P0709,Vehiculos de pasajeros registrados
VEHICULOS_PASAJEROS,Vehiculos de pasajeros registrados
P0017,Superficie Continental (kilómetros cuadrados) que ocupan los municipios de una ciudad excluyendo el territorio insular.
SF_CONTINENTAL,Superficie Continental (Kilómetros Cuadrados) por municipio
P0311,Superficie Agricola (Kilómetros Cuadrados)
SF_AGRICOLA,Superficie Agricola (Kilómetros Cuadrados)
Arboles_Plantados,"Numero de arboles plantados, tomando en cuenta unicamente las unidades del periodo mas reciente"
P0908,"Numero de arboles plantados, tomando en cuenta unicamente las unidades del periodo mas reciente"
Accidentes,Numero de accidentes viales en zonas urbanas
P0712,Numero de accidentes viales en zonas urbanas
Total_Parametro,"Datos que se utilizarán para la construcción del parametro, despues de procesar el dataset de acuerdo con los criterios establecidos en la descripción del parámetro"
EXISTE,"Verificacion de integridad de la información, utilizada con propósitos de sistematización. TRUE si los datos para el municipio existen, FALSE si no existen."
P0112,"Consumo (Litros/ Hora/ día) - Estimación del consumo de agua sin tomar en cuenta las pérdidas por fugas en la red y tomas domiciliarias. Estimado como Volumen de agua consumido (m3/año). Estimado por el PIGOO como el cociente del Volumen de agua consumido al año multiplicado por 1000, dividido entre 365 multiplicado por el numero de habitantes"
P0112_2002,
P0112_2003,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2003"
P0112_2004,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2004"
P0112_2005,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2005"
P0112_2006,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2006"
P0112_2007,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2007"
P0112_2008,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2008"
P0112_2009,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2009"
P0112_2010,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2010"
P0112_2011,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2011"
P0112_2012,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2012"
P0112_2013,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2013"
P0112_2014,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2014"
P0112_2015,"Consumo (Litros/ Hora/ día) sin tomar en cuenta fugas, estimado para 2015"
P0113,Dotación (Litros / Hora / Día: Estimación de la cantidad de agua asignada de acuerdo con la extracción total. Estimado por el PIGOO como el cociente resultante de dividir el Volumen Anual de Agua producido multiplicado por 1000 entre el número de habitantes multiplicado por 365
P0113_2002,"Dotacion (l/h/d), estimada para 2002"
P0113_2003,"Dotacion (l/h/d), estimada para 2003"
P0113_2004,"Dotacion (l/h/d), estimada para 2004"
P0113_2005,"Dotacion (l/h/d), estimada para 2005"
P0113_2006,"Dotacion (l/h/d), estimada para 2006"
P0113_2007,"Dotacion (l/h/d), estimada para 2007"
P0113_2008,"Dotacion (l/h/d), estimada para 2008"
P0113_2009,"Dotacion (l/h/d), estimada para 2009"
P0113_2010,"Dotacion (l/h/d), estimada para 2010"
P0113_2011,"Dotacion (l/h/d), estimada para 2011"
P0113_2012,"Dotacion (l/h/d), estimada para 2012"
P0113_2013,"Dotacion (l/h/d), estimada para 2013"
P0113_2014,"Dotacion (l/h/d), estimada para 2014"
P0113_2015,"Dotacion (l/h/d), estimada para 2015"
P0114,"Macromedicion (%) Conocimiento real de agua entregada, calculado como cociente de el número de macromedidores funcionando en captaciones dividido entre el número de captaciones, multiplicado por cien"
P0114_2002,"Macromedicion (), datos disponibles para 2002"
P0114_2003,"Macromedicion (%), datos disponibles para 2003"
P0114_2004,"Macromedicion (%), datos disponibles para 2004"
P0114_2005,"Macromedicion (%), datos disponibles para 2005"
P0114_2006,"Macromedicion (%), datos disponibles para 2006"
P0114_2007,"Macromedicion (%), datos disponibles para 2007"
P0114_2008,"Macromedicion (%), datos disponibles para 2008"
P0114_2009,"Macromedicion (%), datos disponibles para 2009"
P0114_2010,"Macromedicion (%), datos disponibles para 2010"
P0114_2011,"Macromedicion (%), datos disponibles para 2011"
P0114_2012,"Macromedicion (%), datos disponibles para 2012"
P0114_2013,"Macromedicion (%), datos disponibles para 2013"
P0114_2014,"Macromedicion (%), datos disponibles para 2014"
P0114_2015,"Macromedicion (%), datos disponibles para 2015"
P0115,"Pérdidas por longitud de red (m³/km), calculado como el cociente resultante de dividir la diferencia del 'Volumen Anual Producido menos el volumen Volumen Anual Consumido entre la Longitud de la 'Red de Distribución. Para la agregación a nivel Clave del SUN se calculó el promedio de pérdidas para 'los municipios que componen la ciudad."
P0115_2002," Prdidas por longitud de red, datos para 2002"
P0115_2003,"Pérdidas por longitud de red, datos para 2003"
P0115_2004,"Pérdidas por longitud de red, datos para 2004"
P0115_2005,"Pérdidas por longitud de red, datos para 2005"
P0115_2006,"Pérdidas por longitud de red, datos para 2006"
P0115_2007,"Pérdidas por longitud de red, datos para 2007"
P0115_2008,"Pérdidas por longitud de red, datos para 2008"
P0115_2009,"Pérdidas por longitud de red, datos para 2009"
P0115_2010,"Pérdidas por longitud de red, datos para 2010"
P0115_2011,"Pérdidas por longitud de red, datos para 2011"
P0115_2012,"Pérdidas por longitud de red, datos para 2012"
P0115_2013,"Pérdidas por longitud de red, datos para 2013"
P0115_2014,"Pérdidas por longitud de red, datos para 2014"
P0115_2015,"Pérdidas por longitud de red, datos para 2015"
P0116,"Rehabilitación de Tubería (%). Capacidad del Organismo Operador para mantener actualizada la red de agua, calculado por el PIGOO como el cociente resultante de dividir la Longitud de la tubería rehabilitada entre la longitud total de la tubería de distribución. Para la agregación a nivel Clave del SUN se calculó el promedio de pérdidas para los municipios que componen la ciudad."
P0116_2002,"Rehabilitacion de Tubería, datos para 2002"
P0116_2003,"Rehabilitacion de Tubería, datos para 2003"
P0116_2004,"Rehabilitacion de Tubería, datos para 2004"
P0116_2005,"Rehabilitacion de Tubería, datos para 2005"
P0116_2006,"Rehabilitacion de Tubería, datos para 2006"
P0116_2007,"Rehabilitacion de Tubería, datos para 2007"
P0116_2008,"Rehabilitacion de Tubería, datos para 2008"
P0116_2009,"Rehabilitacion de Tubería, datos para 2009"
P0116_2010,"Rehabilitacion de Tubería, datos para 2010"
P0116_2011,"Rehabilitacion de Tubería, datos para 2011"
P0116_2012,"Rehabilitacion de Tubería, datos para 2012"
P0116_2013,"Rehabilitacion de Tubería, datos para 2013"
P0116_2014,"Rehabilitacion de Tubería, datos para 2014"
P0116_2015,"Rehabilitacion de Tubería, datos para 2015"
P0117,"Rehabilitación de Tomas Domiciliarias: Porcentaje de actualización de la infraestructura de tomas domiciliarias, calculado como el cociente resultante de dividir el número de tomas rehabilitadas entre el número total de tomas registradas por municipio. Para la agregación a nivel Clave del SUN se calculó el promedio de rehabilitación para los municipios que componen la ciudad.'"
P0117_2002,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2002"
P0117_2003,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2003"
P0117_2004,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2004"
P0117_2005,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2005"
P0117_2006,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2006"
P0117_2007,"Rehabilitacion de tomas domiciliarias, datos disponibles para 207"
P0117_2008,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2008"
P0117_2009,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2009"
P0117_2010,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2010"
P0117_2011,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2011"
P0117_2012,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2012"
P0117_2013,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2013"
P0117_2014,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2014"
P0117_2015,"Rehabilitacion de tomas domiciliarias, datos disponibles para 2015"
P0118,"Porcentaje de Cobertura de Agua Potable Reportada: Porcentaje de la población que cuenta con servicio de agua potable, calculado por PIGOO como el cociente resultante de dividir el producto del número de total tomas registradas multiplicado por el numero de habitantes por casa, dividido entre el número de habitantes. Para la agregación a nivel Clave del SUN se calculó el promedio de cobertura para los municipios que componen la ciudad."
P0118_2002,Cobertura de Agua Potable. Datos disponibles para 2002
P0118_2003,Cobertura de Agua Potable. Datos disponibles para 2003
P0118_2004,Cobertura de Agua Potable. Datos disponibles para 2004
P0118_2005,Cobertura de Agua Potable. Datos disponibles para 2005
P0118_2006,Cobertura de Agua Potable. Datos disponibles para 2006
P0118_2007,Cobertura de Agua Potable. Datos disponibles para 2007
P0118_2008,Cobertura de Agua Potable. Datos disponibles para 2008
P0118_2009,Cobertura de Agua Potable. Datos disponibles para 2009
P0118_2010,Cobertura de Agua Potable. Datos disponibles para 2010
P0118_2011,Cobertura de Agua Potable. Datos disponibles para 2011
P0118_2012,Cobertura de Agua Potable. Datos disponibles para 2012
P0118_2013,Cobertura de Agua Potable. Datos disponibles para 2013
P0118_2014,Cobertura de Agua Potable. Datos disponibles para 2014
P0118_2015,Cobertura de Agua Potable. Datos disponibles para 2015
P0119,Porcentaje de Cobertura de alcantarillado reportada. Porcentaje de la población que cuenta con servicio de alcantarillado. Calculado por el PIGOO como el cociente resultante de dividir el número total de tomas con servicio de alcantarillado entre el número total de tomas registradas. Para la agregación a nivel Clave del SUN se calculó el promedio de cobertura para los municipios que componen la ciudad. los municipios que componen la ciudad.
P0119_2002,Cobertura de alcantarillado reportada para 2002
P0119_2003,Cobertura de alcantarillado reportada para 2003
P0119_2004,Cobertura de alcantarillado reportada para 2004
P0119_2005,Cobertura de alcantarillado reportada para 2005
P0119_2006,Cobertura de alcantarillado reportada para 2006
P0119_2007,Cobertura de alcantarillado reportada para 2007
P0119_2008,Cobertura de alcantarillado reportada para 2008
P0119_2009,Cobertura de alcantarillado reportada para 2009
P0119_2010,Cobertura de alcantarillado reportada para 2010
P0119_2011,Cobertura de alcantarillado reportada para 2011
P0119_2012,Cobertura de alcantarillado reportada para 2012
P0119_2013,Cobertura de alcantarillado reportada para 2013
P0119_2014,Cobertura de alcantarillado reportada para 2014
P0119_2015,Cobertura de alcantarillado reportada para 2015
NUM_REGISTROS,Numero de variables de cada municipio que se utilizan para la construcción del parámetro (Utilizado para el cálculo de integridad).
P0403,Viviendas con drenaje
P0403_Drenaje_Total,"Porcentaje de viviendas particulares habitadas que disponen de drenaje por ciudad, sin importar lugar de descarga."
P0403_Drenaje_desaloja_a_Fosa_Septica_o_Tanque_Septico,"Porcentaje de viviendas particulares habitadas que disponen de drenaje, cuya descarga es a fosa séptica o tanque séptico."
P0403_Drenaje_desaloja_a_Red_publica,"Porcentaje de viviendas particulares habitadas que disponen de drenaje, cuya descarga es a red pública de drenaje."
P0403_Viviendas particulares habitadas,"Numero de Viviendas particulares habitadas, de acuerdo con la Encuesta Intercensal 2015."
REGISTROS_EXISTEN,Numero de variables de cada municipio que cuentan con datos para la construcción del parámetro (Utilizado para el cálculo de integridad).
P0101,Porcentaje de viviendas con agua entubada
P0101_Entubada_Total,Porcentaje de viviendas particulares que disponen de agua entubada dentro del predio o vivienda
P0102,Porcentaje de viviendas que cuentan con descarga a una red de alcantarillado
P0102_Drenaje_Total,Porcentaje de viviendas que cuentan con drenaje sin importar el lugar de descarga
P0102_Drenaje_desaloja_a_Red_publica,Porcentaje de viviendas que cuentan con descarga a una red de alcantarillado pública
P0102_Viviendas particulares habitadas,Viviendas particulares habitadas
P0404,Viviendas con piso de tierra
P0404_Pisos_Tierra,Porcentaje de viviendas cuyo piso es de tierra
P0603,Viviendas con calentador de agua (boiler)
P0603_Dispone_de_Equipamiento,Porcentaje de viviendas que disponen de calentador de agua (boiler)
P0611,Viviendas que utilizan leña o carbón para cocinar
P0611_Cocina_con_Lena o carbon,Porcentaje de viviendas particulares habitadas que que utilizan leña o carbón para cocinar
P0612," Viviendas que utilizan leña o carbón para cocinar, que disponen de estufa o fogón con chimenea"
P0612_Dispone_de_estufa_o_fogon_con_chimenea," Porcentaje de viviendas que utilizan leña o o carbón para cocinar, que disponen de estufa o fogón con chimenea"
P0613,Viviendas que utilizan gas para cocinar
P0613_Cocina_con_Gas,Porcentaje de viviendas particulares habitadas que utilizan gas para cocinar
